node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
中央:中央-15-11,中央,中央-15-11,祭壇,unknown,524,274,BAJ,440,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BAJ,0,medium,FALSE,FALSE,,1840,2026-05-31T14:21:08+09:00,
中央:中央-15-12,中央,中央-15-12,祭壇,unknown,574,274,GcC,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,GcC,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1841,2026-05-31T14:21:08+09:00,
中央:中央-15-13,中央,中央-15-13,祭壇,unknown,624,274,BHE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BHE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1842,2026-05-31T14:21:08+09:00,
中央:中央-15-14,中央,中央-15-14,祭壇,unknown,674,274,MOn,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,MOn,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1843,2026-05-31T14:21:08+09:00,
中央:中央-15-15,中央,中央-15-15,祭壇,unknown,724,274,RCON,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,RCON,0,medium,TRUE,FALSE,,1844,2026-05-31T14:21:08+09:00,
中央:中央-15-17,中央,中央-15-17,祭壇,unknown,824,274,DaNG,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,DaNG,0,medium,FALSE,FALSE,,1845,2026-05-31T14:21:08+09:00,
中央:中央-15-7,中央,中央-15-7,祭壇,unknown,324,274,4tH,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,4tH,0,medium,FALSE,FALSE,,1846,2026-05-31T14:21:08+09:00,
中央:中央-15-8,中央,中央-15-8,祭壇,unknown,374,274,nO9,534,manual_override,self,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,nO9,0,medium,FALSE,FALSE,,1847,2026-05-31T14:21:08+09:00,
中央:中央-16-10,中央,中央-16-10,祭壇,unknown,474,224,WUG,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,WUG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1848,2026-05-31T14:21:08+09:00,
中央:中央-16-11,中央,中央-16-11,祭壇,unknown,524,224,SsQ,509,alliance_alias,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,SsQ,0,medium,FALSE,FALSE,,1849,2026-05-31T14:21:08+09:00,
中央:中央-16-12,中央,中央-16-12,祭壇,unknown,574,224,BAJ,440,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,BAJ,0,medium,FALSE,FALSE,,1850,2026-05-31T14:21:08+09:00,
中央:中央-16-13,中央,中央-16-13,祭壇,unknown,624,224,GcC,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,GcC,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1851,2026-05-31T14:21:08+09:00,
中央:中央-16-14,中央,中央-16-14,祭壇,unknown,674,224,MOn,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,MOn,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1852,2026-05-31T14:21:08+09:00,
中央:中央-16-15,中央,中央-16-15,祭壇,unknown,724,224,CDf8,,unknown,unknown,unknown,,active,owned,2026/05/26 23:20,,safe_time_missing,2026/05/26 23:20,CDf8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1853,2026-05-31T14:21:08+09:00,
