node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#511:B-7,#511,B-7,漁場,fishery,299,99,u3o,,unknown,unknown,unknown,,active,owned,2026/05/27 15:43,,safe_time_missing,2026/05/27 15:43,u3o,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1107,2026-05-30T23:03:59+09:00,
#511:A-5,#511,A-5,漁場,fishery,199,20,u3o,,unknown,unknown,unknown,,active,owned,2026/05/27 15:34,,safe_time_missing,2026/05/27 15:34,u3o,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1108,2026-05-30T23:03:59+09:00,
#511:B-5,#511,B-5,漁場,fishery,199,99,K4TR,,unknown,unknown,unknown,,active,owned,2026/05/27 15:18,,safe_time_missing,2026/05/27 15:18,K4TR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1109,2026-05-30T23:03:59+09:00,
#511:D-9,#511,D-9,漁場,fishery,399,299,WUG,,unknown,unknown,unknown,,active,owned,2026/05/28 23:07,,safe_time_missing,2026/05/28 23:07,WUG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1110,2026-05-30T23:03:59+09:00,
#511:K-11,#511,K-11,漁場,fishery,499,978,JL0,,unknown,unknown,unknown,,active,owned,2026/05/26 8:24,,safe_time_missing,2026/05/26 8:24,JL0,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1111,2026-05-30T23:03:59+09:00,
#511:D-7,#511,D-7,漁場,fishery,299,299,WUG,,unknown,unknown,unknown,,active,owned,2026/05/28 7:18,,safe_time_missing,2026/05/28 7:18,WUG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1112,2026-05-30T23:03:59+09:00,
#511:C-7,#511,C-7,漁場,fishery,299,199,SVh,,unknown,unknown,unknown,,active,owned,2026/05/25 5:03,,safe_time_missing,2026/05/25 5:03,SVh,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1114,2026-05-30T23:03:59+09:00,
#511:B-21,#511,B-21,漁場,fishery,978,99,nv8,,unknown,unknown,unknown,,active,owned,2026/05/25 4:52,,safe_time_missing,2026/05/25 4:52,nv8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1115,2026-05-30T23:03:59+09:00,
#511:C-11,#511,C-11,漁場,fishery,499,199,sbM,,unknown,unknown,unknown,,active,owned,2026/05/25 4:52,,safe_time_missing,2026/05/25 4:52,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1116,2026-05-30T23:03:59+09:00,
#511:D-3,#511,D-3,漁場,fishery,99,299,5DU,,unknown,unknown,unknown,,active,owned,2026/05/25 4:12,,safe_time_missing,2026/05/25 4:12,5DU,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1117,2026-05-30T23:03:59+09:00,
#511:C-5,#511,C-5,漁場,fishery,199,199,SVh,,unknown,unknown,unknown,,active,owned,2026/05/25 2:31,,safe_time_missing,2026/05/25 2:31,SVh,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1118,2026-05-30T23:03:59+09:00,
#511:F-21,#511,F-21,漁場,fishery,978,499,TRh,,unknown,unknown,unknown,,active,owned,2026/05/25 1:22,,safe_time_missing,2026/05/25 1:22,TRh,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1119,2026-05-30T23:03:59+09:00,
#511:I-5,#511,I-5,漁場,fishery,199,799,JL2,,unknown,unknown,unknown,,active,owned,2026/05/25 1:16,,safe_time_missing,2026/05/25 1:16,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1120,2026-05-30T23:03:59+09:00,
#511:I-3,#511,I-3,漁場,fishery,99,799,NBNH,,unknown,unknown,unknown,,active,owned,2026/05/24 19:18,,safe_time_missing,2026/05/24 19:18,NBNH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1121,2026-05-30T23:03:59+09:00,
#511:I-1,#511,I-1,漁場,fishery,20,799,ALj,,unknown,unknown,unknown,,active,owned,2026/05/27 23:42,,safe_time_missing,2026/05/27 23:42,ALj,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1122,2026-05-30T23:03:59+09:00,
#511:C-3,#511,C-3,漁場,fishery,99,199,K4TR,,unknown,unknown,unknown,,active,owned,2026/05/24 18:37,,safe_time_missing,2026/05/24 18:37,K4TR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1123,2026-05-30T23:03:59+09:00,
#511:F-3,#511,F-3,漁場,fishery,99,499,EDFS,,unknown,unknown,unknown,,active,owned,2026/05/24 18:20,,safe_time_missing,2026/05/24 18:20,EDFS,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1124,2026-05-30T23:03:59+09:00,
#511:e-16,#511,e-16,都市,city,749,449,sbM,,unknown,unknown,unknown,,active,owned,2026/05/24 9:01,,safe_time_missing,2026/05/24 9:01,sbM,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1127,2026-05-30T23:03:59+09:00,
