node_id,owner_server,owner_alliance,affiliation,acquired_at_jst,source,confidence,last_confirmed_at,last_event_id,status,note
#534:H-19,,59U,unknown,2026/05/24 13:38,legacy_management_table,medium,2026/05/24 13:38,,active,手入力ログ 2026/05/24 13:38 / #534 X:899 Y:699 Lv.1 漁場 / 中立/未登録 -> 59U
#534:e-14,,,unknown,2026/05/30 12:03,legacy_management_table,high,2026/05/30 12:03,,destroyed,都市破壊OCR IMG_1432.PNG / 2026/05/30 12:03:15 / #534 X:649 Y:449 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #534[SHA] / 宝箱×10 / 破壊済み・復活なし
#534:g-10,,4tH,unknown,2026/05/24 10:06,legacy_management_table,medium,2026/05/24 10:06,,active,赤字OCR IMG_0881.PNG / #534 X:449 Y:649 Lv.3 / 中立/未登録 -> 4tH / 時刻は前後スクショから推定
#534:d-8,,,unknown,2026/05/30 12:03,legacy_management_table,high,2026/05/30 12:03,,destroyed,都市破壊OCR IMG_1432.PNG / 2026/05/30 12:03:03 / #534 X:349 Y:349 Lv.3都市 / 攻撃側 #476[476C] / 防衛側 #534[4tH] / 宝箱×10 / 破壊済み・復活なし
#534:C-11,#476,476B,unknown,2026/05/24 7:25,legacy_management_table,medium,2026/05/24 7:25,,active,赤字OCR IMG_0875.PNG / #534 X:499 Y:199 Lv.2 / Trh -> 476B
#534:C-9,#476,476C,unknown,2026/05/24 7:16,legacy_management_table,medium,2026/05/24 7:16,,active,赤字OCR IMG_0874.PNG / #534 X:399 Y:199 Lv.2 / SHA0 -> 476C
#534:D-7,#476,476B,unknown,2026/05/24 7:16,legacy_management_table,medium,2026/05/24 7:16,,active,赤字OCR IMG_0874.PNG / #534 X:299 Y:299 Lv.3 / SHA -> 476B
#534:A-3,,KTVS,unknown,2026/05/24 7:08,legacy_management_table,medium,2026/05/24 7:08,,active,赤字OCR IMG_0873.PNG / #534 X:99 Y:20 Lv.1 / nO9 -> KTVS / 時刻は前後スクショから推定
#534:C-7,#476,476C,unknown,2026/05/24 7:08,legacy_management_table,medium,2026/05/24 7:08,,active,赤字OCR IMG_0872.PNG / #534 X:299 Y:199 Lv.2 / SHA -> 476C
#534:g-16,,KTVS,unknown,2026/05/23 23:30,legacy_management_table,medium,2026/05/23 23:30,,active,赤字OCR IMG_0754.PNG / #534 X:749 Y:649 Lv.2 / 中立/未登録 -> KTVS
