owner_alliance,inferred_server,directory_server,directory_match_type,node_count,area_counts,node_type_counts,sample_node_ids,sample_node_labels,current_affiliation,reason
f4j,,,none,17,"{""#534"":17}","{""漁場"":10,""都市"":7}",#534:i-12;#534:K-11;#534:i-14;#534:I-15;#534:i-16;#534:I-17;#534:j-10;#534:J-11,i-12;K-11;i-14;I-15;i-16;I-17;j-10;J-11,unknown,missing_from_pacts
fIrE,,,none,17,"{""中央"":8,""#511"":4,""#523"":4,""#476"":1}","{""漁場"":11,""都市"":3,""祭壇"":2,""交易地"":1}",#476:A-19;#511:E-7;#511:F-7;#511:c-2;#511:D-11;#523:h-8;#523:i-10;#523:I-9,A-19;E-7;F-7;c-2;D-11;h-8;i-10;I-9,unknown,missing_from_pacts
TaW,,,none,16,"{""#440"":10,""#480"":4,""中央"":2}","{""漁場"":11,""都市"":4,""交易地"":1}",#440:d-16;#440:i-16;#440:E-17;#440:j-20;#440:F-13;#440:J-13;#440:e-16;#440:f-16,d-16;i-16;E-17;j-20;F-13;J-13;e-16;f-16,unknown,missing_from_pacts
ALj,,,none,15,"{""#476"":6,""中央"":6,""#511"":2,""#523"":1}","{""漁場"":11,""都市"":2,""祭壇"":2}",#476:G-15;#476:G-17;#476:h-18;#476:F-17;#476:g-20;#476:H-21;#511:I-1;#511:H-1,G-15;G-17;h-18;F-17;g-20;H-21;I-1;H-1,unknown,missing_from_pacts
Dao,,,none,15,"{""#534"":13,""#509"":2}","{""漁場"":10,""都市"":5}",#509:H-1;#509:K-1;#534:j-16;#534:i-6;#534:h-12;#534:i-10;#534:I-11;#534:I-13,H-1;K-1;j-16;i-6;h-12;i-10;I-11;I-13,unknown,missing_from_pacts
JL2,,,none,15,"{""#511"":11,""中央"":4}","{""漁場"":8,""都市"":5,""祭壇"":2}",#511:I-5;#511:F-5;#511:j-8;#511:G-5;#511:H-3;#511:j-6;#511:h-4;#511:i-6,I-5;F-5;j-8;G-5;H-3;j-6;h-4;i-6,unknown,missing_from_pacts
MOn,,,none,15,"{""#509"":10,""中央"":5}","{""漁場"":9,""都市"":4,""祭壇"":2}",#509:F-15;#509:h-12;#509:h-14;#509:I-13;#509:h-10;#509:A-13;#509:g-10;#509:G-11,F-15;h-12;h-14;I-13;h-10;A-13;g-10;G-11,unknown,missing_from_pacts
CDf8,,,none,14,"{""#480"":6,""中央"":6,""#511"":2}","{""漁場"":9,""都市"":3,""祭壇"":2}",#480:d-16;#480:e-16;#480:D-5;#480:f-14;#480:E-15;#480:G-15;#511:J-19;#511:J-15,d-16;e-16;D-5;f-14;E-15;G-15;J-19;J-15,unknown,missing_from_pacts
Stj,,,none,14,"{""#503"":5,""#509"":5,""中央"":3,""#511"":1}","{""漁場"":8,""祭壇"":3,""交易地"":2,""都市"":1}",#503:f-14;#503:f-2;#503:B-19;#503:E-15;#503:I-1;#509:I-15;#509:J-13;#509:I-17,f-14;f-2;B-19;E-15;I-1;I-15;J-13;I-17,unknown,missing_from_pacts
TrX,,,none,14,"{""#440"":11,""#511"":2,""中央"":1}","{""漁場"":9,""都市"":4,""祭壇"":1}",#440:G-17;#440:F-5;#440:G-5;#440:h-18;#440:g-20;#440:D-1;#440:H-17;#440:g-18,G-17;F-5;G-5;h-18;g-20;D-1;H-17;g-18,unknown,missing_from_pacts
