node_id,coord,node_type_norm,current_alliance,status_norm,protection_status,safe_until_jst,frontline_group,server_side,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note
#503:f-20,f-20,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:f-4,f-4,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:f-6,f-6,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:F-7,F-7,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:G-1,G-1,fishery,GX99,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#503:G-11,G-11,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:G-13,G-13,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:G-15,G-15,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:g-16,g-16,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:G-17,G-17,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:g-18,g-18,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:g-20,g-20,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:G-21,G-21,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:g-4,g-4,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:G-9,G-9,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:H-1,H-1,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-10,h-10,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-11,H-11,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-12,h-12,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:h-14,h-14,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-15,H-15,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-16,h-16,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-17,H-17,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-18,h-18,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-19,H-19,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-20,h-20,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:h-4,h-4,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-5,H-5,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:h-6,h-6,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#503:H-7,H-7,fishery,Bye,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:H-9,H-9,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:I-15,I-15,fishery,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#503:i-16,i-16,city,,neutral_or_unknown,neutral_or_unknown,,other,unknown,FALSE,FALSE,30,30,mid,city +30
