source,option,raw_name,matched_name,match_score,total_m,band,ocr_text
IMG_8219.PNG,10,桃nagareda,桃nagareda,1.0,227.32,a_50M未満,戦力：227317731
IMG_8220.PNG,10,◎公亟介,,0.0,232.61,a_50M未満,戦力：232605345
IMG_8220.PNG,10,OLDヤンガス,OLDヤンガス,1.0,205.05,a_50M未満,戦力：205051795
IMG_8220.PNG,10,pecten,pecten,1.0,211.92,a_50M未満,戦力：211921197
IMG_8220.PNG,10,呷八霸,呷八覇,1.0,258.03,a_50M未満,戦力：258025184
IMG_8221.PNG,10,← 以下の方が選択肢「10」を選びました,,0.0,232.61,a_50M未満,戦力：232605345
IMG_8221.PNG,10,OLDヤンガス,OLDヤンガス,1.0,205.05,a_50M未満,戦力：205051795
IMG_8221.PNG,10,pecten,pecten,1.0,211.92,a_50M未満,戦力：211921197
IMG_8221.PNG,10,呷八霸,呷八覇,1.0,258.03,a_50M未満,戦力 ：258025184
IMG_8221.PNG,10,ヤギサトツ,ヤギサトツ,1.0,268.35,a_50M未満,戦力：268348285
