row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
20,sakimaru,332.66,343.24,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,63.31,64.85,エンジニア,エンジニア,True,True,,IMG_2553.PNG,IMG_2569.PNG,1.0,0.941,戦車64.85Mエンジニア
21,黒猫 nuda,326.25,355.48,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,76,76.2,エンジニア,エンジニア,True,True,large_total_delta,IMG_2546.PNG,IMG_2573.PNG,1.0,1.0,航空76.2Mエンジニア A2
22,RevoSHoBoR,325.27,338.22,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,68.9,71.1,エンジニア,エンジニア,True,True,,IMG_2548.PNG,IMG_2571.PNG,1.0,1.0,HOB 戦車：71.1Mエンジニア
23,TONKUN,324.41,348.08,5_62M以上〜65M未満,4_65M以上〜70M未満,戦,戦,64.75,67.27,エンジニア,エンジニア,True,True,,IMG_2550.PNG,IMG_2572.PNG,1.0,1.0,戦車67.27m エンジニア
24,torsoboy00,323.6,302.21,7_58M以上〜60M未満,6_60M以上〜62M未満,戦,戦,59.51,60.7,エンジニア,エンジニア,True,True,,IMG_2556.PNG,IMG_2565.PNG,1.0,1.0,60.7 tank engineer I
25,Revo nikoora,320.43,310.4,5_62M以上〜65M未満,4_65M以上〜70M未満,ロ,ロ,62.9,66,エンジニア,エンジニア,True,True,,IMG_2550.PNG,IMG_2569.PNG,1.0,1.0,ロケラン66Mエンジニア .T
26,いたちごっこR,320.4,,,,,,,,,,False,False,,,,,,
27,SOL265,318.25,348.12,4_65M以上〜70M未満,4_65M以上〜70M未満,航,航,66,69,エンジニア,エンジニア,True,True,large_total_delta,IMG_2550.PNG,IMG_2568.PNG,1.0,1.0,マーフィー航空 69M エンジニア
28,雉猫くるさん,311.89,307.23,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,65.7,68,エンジニア,,True,True,,IMG_2551.PNG,IMG_2567.PNG,1.0,1.0,Tank 68 Enaineer
29,HIDEGONDx,311.52,313.89,4_65M以上〜70M未満,3_70M以上〜75M未満,ロ,,67.1,70,エンジニア,エンジニア,True,True,,IMG_2549.PNG,IMG_2572.PNG,1.0,1.0,70M/tengineer
30,きょたぱ,310.38,,6_60M以上〜62M未満,,,,,,,,False,False,,,,,,
31,AyuMiN,309.9,327.6,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,62,64,エンジニア,エンジニア,True,True,,IMG_2552.PNG,IMG_2564.PNG,1.0,0.923,戦車64Mエンジニア
32,SPD20T,309.58,,6_60M以上〜62M未満,,戦,,60.6,,エンジニア,,False,False,,,,,,
33,himoぺよ星,309.56,,8_55M以上〜58M未満,,戦,,57.32,,エンジニア,,False,False,,,,,,
34,スコア80,308.58,,5_62M以上〜65M未満,,ロ,,62.8,,エンジニア,,False,False,,,,,,
35,はぶーぶ,307.91,,7_58M以上〜60M未満,,戦,,58.64,,エンジニア,,False,False,,,,,,
36,hiro628,306.7,327.13,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,,57.2,,エンジニア,,True,True,,IMG_2557.PNG,,1.0,,
37,枝マメDx,306.51,285.16,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,60.1,63.77,エンジニア,エンジニア,True,True,,IMG_2553.PNG,IMG_2573.PNG,0.889,1.0,アゴ付き戦車63.77Mエンジン屋 AN
38,DaoETあつし,304.65,304.25,5_62M以上〜65M未満,5_62M以上〜65M未満,戦,戦,63.69,64.11,エンジニア,エンジニア,True,True,,IMG_2554.PNG,IMG_2564.PNG,1.0,0.824,戦車64.11M私エンジニア
39,こうしゅう,304.48,311.67,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,53.05,54,エンジニア,エンジニア,True,True,,IMG_2561.PNG,IMG_2566.PNG,1.0,1.0,戦車54Mエンジニア A
