issue,key,management_row,type,owner,expected,full_map,map_row,map_column,memo
owned_key_not_in_template,中央:中央-5-7,1885,祭壇,476C,476C,,,,グレー吹き出しOCR IMG_1123.PNG / #8061 X:324 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-8,1886,祭壇,476X,476X,,,,グレー吹き出しOCR IMG_1130.PNG / #8061 X:374 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-5-9,1887,祭壇,476B,476B,,,,グレー吹き出しOCR IMG_1122.PNG / #8061 X:424 Y:774 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-1,2142,漁場,ALj,ALj,,,,Dropbox red OCR IMG_1919.PNG / #8061 X:24 Y:724 Lv.5 漁場 / OCR+Paddle checked / time inferred from adjacent screenshots: after 04:59 and before 06:55 / ALi->ALj
owned_key_not_in_template,中央:中央-6-10,1888,祭壇,476B,476B,,,,RAW_OCR_LOG row50 / #8061 X:474 Y:724 Lv.2 こだまの祭壇 / 中立/未登録 -> 476B / 画像:BBE70268
owned_key_not_in_template,中央:中央-6-11,1800,祭壇,KTVS,KTVS,,,,グレー吹き出しOCR IMG_1144.PNG / #8061 X:524 Y:724 Lv.2 祭壇 / 画像内表示
owned_key_not_in_template,中央:中央-6-12,1889,祭壇,UMN,UMN,,,,グレー吹き出しOCR IMG_1125.PNG / #8061 X:574 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-13,1890,祭壇,SHA,SHA,,,,グレー吹き出しOCR IMG_1125.PNG / #8061 X:624 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-14,1891,祭壇,fzn,fzn,,,,グレー吹き出しOCR IMG_1124.PNG / #8061 X:674 Y:724 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-15,1788,祭壇,JDX,JDX,,,,RAW_OCR_LOG row60 / #8061 X:724 Y:724 Lv.2 こだまの祭壇 / 中立/未登録 -> JDX / 画像:1505E4F4
owned_key_not_in_template,中央:中央-6-16,1815,祭壇,UMN,UMN,,,,グレー吹き出しOCR IMG_1142.PNG / #8061 X:774 Y:724 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-17,1892,祭壇,GX99,GX99,,,,グレー吹き出しOCR IMG_1136.PNG / #8061 X:824 Y:724 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-6-18,1963,漁場,FHX,FHX,,,,赤字OCR IMG_0696.PNG / 中央 X:874 Y:724 Lv7 漁場 / TkTk -> FHX
owned_key_not_in_template,中央:中央-6-19,2061,漁場,RCON,RCON,,,,画像4: #8061 X:924 Y:724 Lv6
owned_key_not_in_template,中央:中央-6-2,2143,漁場,ALj,ALj,,,,Dropbox red OCR IMG_1918.PNG / #8061 X:74 Y:724 Lv.6 漁場 / OCR+Paddle checked / ALi->ALj
owned_key_not_in_template,中央:中央-6-20,2049,漁場,Digg,Digg,,,,新規画像1: #8061 X:974 Y:724 Lv.5
owned_key_not_in_template,中央:中央-6-3,2144,漁場,Kfk,Kfk,,,,Dropbox赤字OCR IMG_1654.PNG / #8061 X:124 Y:724 Lv.7 漁場 / 中立/未登録 -> Kfk
