image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
frame_0020.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38"
frame_0021.png,history_modal,2026/05/27 12:03:31,#476,476X,DaNG,#511,549,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLv.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:03:31"
frame_0021.png,history_modal,2026/05/27 12:06:12,#476,476X,DaNG,#511,649,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12"
frame_0021.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 12:07:38"
frame_0022.png,history_modal,2026/05/27 12:03:31,#476,476X,DaNG,#511,549,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:03:31"
frame_0022.png,history_modal,2026/05/27 12:06:12,#476,476X,DaNG,#511,649,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLv.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12"
frame_0022.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38"
frame_0022.png,history_modal,2026/05/27 12:11:30,#440,BAJ,BgNa,#480,249,249,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#440[BAが#480[BgNa]領有中のLv.2都市 #480(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:11:30"
frame_0023.png,history_modal,2026/05/27 12:06:12,#476,476X,DaNG,#511,649,749,2,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12"
frame_0023.png,history_modal,2026/05/27 12:07:38,#480,BgNa,,#511,849,649,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38"
